"marker","n_positive","n_cells","pct_positive"
"FCGR3B",1283,16291,7.876
"CSF3R",1211,16291,7.434
"CEACAM8",21,16291,0.129
"MPO",67,16291,0.411
"ELANE",10,16291,0.061
"FUT4",220,16291,1.35
"S100A8",896,16291,5.5
"S100A9",1205,16291,7.397
