"cohort","module","logFC","t","P.Value","fdr_h5","expected_direction","concordant_direction","significant"
"GSE78220","Module1",0.168755476475821,0.681556466665197,0.501784979935247,0.501784979935247,1,TRUE,FALSE
"GSE91061","Module1",-0.26864991602852,-1.0658549781898,0.291934086943756,0.45831181971597,1,FALSE,FALSE
"GSE78220","Module2",0.189525542618605,1.54933535524929,0.133868803016274,0.267737606032549,1,TRUE,FALSE
"GSE91061","Module2",-0.0915469268173798,-0.747790663724451,0.45831181971597,0.45831181971597,1,FALSE,FALSE
