"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank"
"Myeloid","Myeloid","C3","LRP1",0.000134146180401724,536,0.936151488831889,14,1.4763983203686,46,1.61958739415913,71,0.789191083679676,2013
"Myeloid","T_cell","LYZ","ITGAL",0.00013701489275755,165.75,0.326907972351036,266,1.24106153174182,91,1.77344138875631,44,0.909838520432773,262
"Myeloid","Myeloid","C1QA","CD93",0.000139863891725111,527,0.950106137800506,10,1.34914622687774,71,1.6132175465727,72,0.793759305275284,1955
"Myeloid","Myeloid","S100A9","ITGB2",0.000145444159151452,171.25,0.325443088653773,270,1.16236200216061,112,1.5419615293804,84,0.913411303007979,219
"Myeloid","Myeloid","THBS1","LRP1",0.000145740928636563,420.5,0.679046448883893,73,1.41474488876198,54,1.71072637367657,55,0.821609564852634,1500
"Myeloid","NK","LYZ","ITGAL",0.000147610887732548,171,0.324097775344521,271,1.23582905549518,93,1.71145507522424,54,0.909483781926382,266
"Myeloid","Myeloid","VEGFA","SIRPA",0.000157981540992649,406,0.828410084035836,34,1.61814950494244,31,1.59833829484736,75,0.822895170090996,1484
"Myeloid","Myeloid","PLTP","ABCA1",0.000177590860768159,485,0.634309690878059,78,1.3512935194164,69,1.57371724903101,78,0.809933068559258,1715
"Myeloid","Myeloid","HLA-DMB","CD4",0.000183107174484077,148.75,0.418755401169648,145,1.21514266736516,101,1.650668983869,63,0.907511755542751,286
"Myeloid","Myeloid","ANXA2","TLR2",0.000196251590235142,147,0.393674374922244,175,1.40119160938907,56,1.63024783621566,66,0.907214629013115,291
"Myeloid","Myeloid","TNFSF13","TNFRSF1A",0.000206156516295113,202.75,0.611303489999759,82,1.39857021556777,58,1.84015716746241,37,0.881778202190182,634
"Myeloid","Myeloid","ANXA1","FPR1",0.000212944793413641,148.75,0.414878109970188,148,1.31450031258074,77,1.61058219659518,73,0.906888667146924,297
"Myeloid","B_cell","THBS1","SDC1",0.000213744235374584,540.75,0.683520386687462,72,1.75266822836796,16,1.55149965204401,83,0.790400882313385,1992
"Myeloid","Myeloid","TNFSF13","SDC2",0.000221514721948866,582.75,0.828846471843774,33,1.26721685500554,84,1.5829066919648,76,0.779279950118412,2138
"Myeloid","Myeloid","HLA-DQB1","CD4",0.000233741358073688,204.75,0.305519431336468,304,1.02644580251873,179,1.33463378421061,144,0.915376596841744,192
"Myeloid","Myeloid","LILRB4","LAIR1",0.000237612472649395,150.75,0.60148084470665,86,1.68656150866232,22,2.19662838306022,11,0.895226611918826,484
"Myeloid","Myeloid","S100A12","CD36",0.000263182772358055,638.75,0.930772891482903,16,1.24571214961499,89,1.62630866653078,67,0.761679705822523,2383
"Myeloid","Myeloid","LGALS9","LRP1",0.000279865721529159,116.25,0.578517212012867,92,1.62759984166172,29,1.92035295616482,26,0.905173477469761,318
"Myeloid","Myeloid","TNFSF13B","HLA-DPB1",0.000279865721529159,191,0.300756296246969,318,1.10665920955817,139,1.4597611022856,103,0.914515928589257,204
"Myeloid","Myeloid","PLAU","ITGAM",0.000290512141694539,439.5,0.60169765338419,85,1.2404495781629,92,1.52218622247755,87,0.821941240941151,1494
"Myeloid","Myeloid","S100A8","ITGB2",0.000294214935460636,207.5,0.330364497375048,257,1.0974253379062,143,1.4506658917004,108,0.904968377143849,322
"Myeloid","Myeloid","CD14","TLR6",0.000300022665941338,541.5,0.576726097100624,93,1.4097706909208,55,1.75193519848896,49,0.792696319176829,1969
"Myeloid","Myeloid","HEBP1","FPR3",0.000309737061606056,497.75,0.755678203396949,55,1.23340375444026,94,1.55213601868301,82,0.807045448986428,1760
"Myeloid","Myeloid","CD1D","LILRB2",0.000309737061606056,261.25,0.574641183958201,94,1.70952097284155,19,2.04335112559814,19,0.859149841511475,913
"B_cell","Myeloid","HSP90B1","LRP1",0.000340586238243381,209.75,0.293278456154084,334,1.30635648058512,79,1.45226621155872,107,0.905145861123365,319
"Myeloid","Myeloid","C3","ITGAX",0.00035067531997937,495.5,0.686574257050674,70,1.22354509201664,98,1.50548050963415,91,0.809335886065095,1723
"Myeloid","Myeloid","APOE","ABCA1",0.000361440526643356,594.5,0.795157780927121,43,1.28262539657639,81,1.46634026961521,99,0.778200101911056,2155
"Myeloid","Myeloid","VCAN","CD44",0.000361443169067342,223.75,0.290045273145494,339,1.09202101043891,145,1.35494045904174,139,0.90838352321932,272
"Myeloid","Myeloid","HLA-DMA","CD4",0.000365726893227686,231.25,0.289741273403482,340,0.998377068948284,203,1.28569886624123,180,0.914850570130617,202
"Myeloid","Myeloid","HLA-DRA","CD4",0.000370048582172168,184.5,0.289435336408355,341,1.02578550222783,180,1.32941306096306,147,0.92361019556022,70
"Myeloid","B_cell","C3","CD19",0.000387011286953512,640,0.952336777915109,7,1.78485314999106,14,1.44734416704529,109,0.757658375860649,2430
"B_cell","B_cell","IGHG1_IGLC1","FCGR2B",0.000387011286953512,271.75,0.350467468311605,236,1.87860668087559,13,2.11205456170883,14,0.866255139181499,824
"Myeloid","B_cell","CCL2","CCR10",0.000418554872865641,753.5,0.808321888879163,40,1.23031964645911,96,1.45940294398667,104,0.72708077339364,2774
"B_cell","Myeloid","IGHG1_IGLC1","FCGR3B",0.000418554872865641,199,0.533564092789903,104,1.94191449308184,11,2.08870347198237,15,0.878842229150117,666
"Myeloid","Myeloid","GRN","SORT1",0.000430649991225659,376.75,0.533375380985581,105,1.33794083010301,72,1.57251659298031,79,0.836470144857265,1251
"Myeloid","Myeloid","PLAU","ITGA5",0.00044297404560695,434.75,0.6560128634221,75,1.19865211818209,106,1.4647565678186,101,0.824046179349226,1457
"Myeloid","Myeloid","CXCL10","TLR4",0.000455529111918292,606,0.694297732450877,68,1.19369108390875,107,1.51067914779316,88,0.777634520520339,2161
"Myeloid","NK","CD14","ITGB2",0.000496484261093101,216.75,0.275121807096942,367,1.07290501793779,157,1.48379500470934,96,0.911021117162952,247
