"cell","compartment_call"
"G9_P6_M11","NK"
"H12_P3_M11","NK"
"H1_P1_M11","T_cell"
"H1_P4_M11","T_cell"
"H2_P4_M11","T_cell"
"H3_P1_M11","NK"
"H3_P2_M11","NK"
"H3_P4_M11","T_cell"
"H3_P5_M11","NK"
"H3_P6_M11","T_cell"
"H4_P2_M11","NK"
"H4_P5_M11","Myeloid"
"H4_P6_M11","NK"
"H6_P3_M11","T_cell"
"H6_P4_M11","NK"
"H7_P3_M11","NK"
"H7_P4_M11","T_cell"
"H8_P1_M11","NK"
"H8_P5_M11","T_cell"
"H9_P1_M11","NK"
"H9_P3_M11","NK"
"H9_P4_M11","T_cell"
"H9_P5_M11","T_cell"
"H9_P6_M11","T_cell"
"A10_P1_M15","T_cell"
"A10_P4_M15","T_cell"
"A10_P5_M15","T_cell"
"A10_P6_M15","NK"
"A11_P1_M15","T_cell"
"A11_P2_M15","T_cell"
"A11_P5_M15","T_cell"
"A11_P6_M15","T_cell"
"A12_P1_M15","NK"
"A12_P2_M15","T_cell"
"A12_P5_M15","T_cell"
"A2_P1_M15","NK"
"A2_P2_M15","T_cell"
"A2_P3_M15","B_cell"
"A2_P6_M15","T_cell"
"A3_P2_M15","NK"
"A3_P6_M15","NK"
"A4_P1_M15","NK"
"A4_P3_M15","T_cell"
"A4_P4_M15","T_cell"
"A4_P5_M15","NK"
"A4_P6_M15","T_cell"
"A5_P1_M15","NK"
"A5_P5_M15","T_cell"
"A5_P6_M15","Myeloid"
"A6_P1_M15","T_cell"
"A6_P2_M15","T_cell"
"A7_P1_M15","T_cell"
"A7_P2_M15","Myeloid"
"A8_P1_M15","Unassigned (all modules low)"
"A8_P2_M15","T_cell"
"A9_P1_M15","T_cell"
"B10_P1_M15","NK"
"B10_P2_M15","Myeloid"
"B10_P4_M15","T_cell"
"B10_P5_M15","T_cell"
"B11_P1_M15","NK"
"B11_P2_M15","NK"
"B11_P6_M15","T_cell"
"B12_P1_M15","T_cell"
"B12_P2_M15","T_cell"
"B12_P5_M15","T_cell"
"B1_P1_M15","T_cell"
"B1_P2_M15","T_cell"
"B1_P4_M15","NK"
"B2_P1_M15","NK"
"B2_P2_M15","NK"
"B2_P6_M15","NK"
"B3_P1_M15","T_cell"
"B3_P2_M15","NK"
"B3_P3_M15","T_cell"
"B3_P5_M15","B_cell"
"B3_P6_M15","T_cell"
"B4_P2_M15","T_cell"
"B4_P3_M15","T_cell"
"B5_P1_M15","T_cell"
"B5_P5_M15","NK"
"B6_P1_M15","T_cell"
"B6_P6_M15","B_cell"
"B7_P1_M15","T_cell"
"B7_P6_M15","NK"
"B8_P2_M15","T_cell"
