"TF","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SREBF1",1.55382737658345,7.39464799920295,5.54412071877162,2.22071408992602e-05,0.00818254584341109,2.84852602993882
"BACH1",0.868575902343633,2.78489182405185,5.26657978066051,4.11303884708339e-05,0.00818254584341109,2.28113346275004
"SREBF2",1.3760673845445,6.20727510131844,5.13982116027113,5.46440389363625e-05,0.00818254584341109,2.01901807883272
"TLX2",0.613210232755592,0.948631448195819,5.13754579542932,5.49241796116134e-05,0.00818254584341109,2.01429715291756
"KLF15",0.666308249660016,1.47938187195158,5.08511031338219,6.18014524120156e-05,0.00818254584341109,1.90535482529465
"OLIG2",0.776996973853769,2.12107353560389,5.04116535763034,6.82371210637511e-05,0.00818254584341109,1.813837313059
"PARK7",0.819155186168868,1.74087736853258,4.99365580221396,7.59652797133655e-05,0.00818254584341109,1.7146827085721
"TFAP2A",1.52651456001317,10.3349107697002,4.81812763193196,0.000113099953109228,0.0106596705805447,1.34655483570046
"STOX1",0.785432361779399,-0.515253679385928,4.69832261313152,0.000148598256741424,0.0114032260188228,1.09383860094395
"SMARCA1",1.06847954157762,3.79931587554907,4.69061378396629,0.000151236419347782,0.0114032260188228,1.07754158697273
"PRDM2",0.703720530632024,1.4024558408698,4.61494291825386,0.000179789406249863,0.0123237465738543,0.917356808707864
"SNAI2",-0.609020640252854,1.54012782528593,-4.54181552287509,0.000212562356242396,0.0130208950720083,0.76222018465043
"CTBP1",-0.701041291885798,-1.95521960604639,-4.48734273325887,0.000240845124700926,0.0130208950720083,0.646468158438857
"E2F5",0.740173243260612,-0.980508183910235,4.48567730705172,0.000241767282504132,0.0130208950720083,0.642926864154318
"IKZF3",-0.718631847836613,1.91165328814376,-4.42235482940758,0.000279603369861988,0.0140547293917293,0.508186410828472
"SIM2",0.642718277401344,1.30261158179673,4.24378481835921,0.000421671570628059,0.0198712727658473,0.127433875587376
"KAT6B",1.14437532039308,2.56809863637779,4.14413793092867,0.000530529540947459,0.0230870156452864,-0.0853433115439328
"DNMT1",1.0945313151902,7.13647091531424,4.12760038940666,0.000551148914608959,0.0230870156452864,-0.120664968611311
"NFIA",0.699465213977177,4.36964282492281,4.06417867451174,0.000637949166934597,0.0250628662100878,-0.256126192998082
"E2F4",1.98797564916455,13.1059627119561,4.01667180414934,0.000711821166855564,0.0250628662100878,-0.357581219518452
"E2F1",2.31808246808401,12.4102966465772,4.0162539972193,0.000712507428047356,0.0250628662100878,-0.358473374222762
"SATB2",-0.827406450979897,0.785607968197335,-4.00497994555078,0.000731277263424313,0.0250628662100878,-0.382546261154601
"ZNF395",0.964872683651085,2.55115251562949,3.96165444052146,0.000808122971098479,0.0254363692523797,-0.475037309400803
"PML",0.99179745729241,0.617637546273019,3.95708632321644,0.000816681401132638,0.0254363692523797,-0.484787153177487
"CEBPA",1.70519205483291,3.69601504752096,3.94313640986503,0.000843380943381291,0.0254363692523797,-0.514557839744649
"KAT6A",0.740727620054444,5.02455898950485,3.91495358685542,0.000900008904378878,0.0259198726085408,-0.574688121025465
"NFE2",0.491608000145512,-0.30936313020495,3.90159265155517,0.000928165199510081,0.0259198726085408,-0.603186881341806
"PPARA",1.2222479379222,3.93886115238642,3.84765097937161,0.00105105292674691,0.0283033538131133,-0.718183243010736
"PDX1",0.721088395131071,3.1174928992677,3.81557080170172,0.00113168719249749,0.0294238670049348,-0.786520073459841
"TBX10",1.16334232111847,2.33131217042376,3.78616914389907,0.00121098169577639,0.0298978252729407,-0.849110037881543
"ZBTB14",0.402934379704005,-0.836202878183736,3.77967739100707,0.00122922093297236,0.0298978252729407,-0.862923863905616
"ESR1",1.84483355366735,18.2698445951858,3.75655947883497,0.00129641868156975,0.0305468651844873,-0.912098476592897
"MEIS2",0.382738379886994,-0.994492817143795,3.73371742709866,0.00136639701748546,0.0306604138977058,-0.960656945893453
"NR1H4",0.615245984345201,2.87562597306076,3.72860526704687,0.00138256508292042,0.0306604138977058,-0.971520349924185
"IRF3",1.7149927103205,9.0026047414275,3.69115225597911,0.00150695127375284,0.0324640360117041,-1.05105833061524
"NFE2L2",1.75890095371732,11.7352270405462,3.67050181185791,0.00158021685999351,0.0330967642343085,-1.09487309186645
