"gene","cohort","logFC","t","P.Value","fdr_h5","h1_logFC","concordant_direction","significant"
"CCL3","GSE78220",0.75350414460054,1.96390131033385,0.0592021630691956,0.236808652276782,0.752969904924496,TRUE,FALSE
"CCL3","GSE91061",-0.913001100174721,-1.74499913677726,0.0870182924729495,0.0919331665368619,0.752969904924496,FALSE,FALSE
"CCL4","GSE78220",0.343705632115802,0.664162485571744,0.511838349676398,0.839159026443755,0.730657719867011,TRUE,FALSE
"CCL4","GSE91061",-0.919152063931974,-1.71767382549496,0.0919331665368619,0.0919331665368619,0.730657719867011,FALSE,FALSE
"CXCL13","GSE78220",-0.164888714519896,-0.204801961950235,0.839159026443755,0.839159026443755,0.863506675513593,FALSE,FALSE
"CXCL13","GSE91061",-2.3521914689983,-2.51013011404785,0.0152888933686766,0.0611555734747066,0.863506675513593,FALSE,FALSE
"LTB","GSE78220",-0.195813982437128,-0.442221770852838,0.661612740703165,0.839159026443755,-0.720845448617712,TRUE,FALSE
"LTB","GSE91061",-1.36954289772528,-1.80653268249362,0.0767466638580578,0.0919331665368619,-0.720845448617712,TRUE,FALSE
